Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2025-10-29 03:45:00+00:00,1503.5,1505.199951171875,1489.0999755859375,1489.0999755859375,0
2025-10-29 04:45:00+00:00,1503.4000244140625,1506.300048828125,1499.0,1503.699951171875,1510921
2025-10-29 05:45:00+00:00,1501.5,1508.300048828125,1499.0,1503.4000244140625,2061503
2025-10-29 06:45:00+00:00,1505.699951171875,1506.0,1499.5,1501.9000244140625,1628926
2025-10-29 07:45:00+00:00,1503.300048828125,1507.4000244140625,1501.0999755859375,1505.699951171875,1729320
2025-10-29 08:45:00+00:00,1504.0,1504.800048828125,1500.800048828125,1503.300048828125,2137395
2025-10-29 09:45:00+00:00,1504.0,1505.300048828125,1503.0999755859375,1503.5999755859375,492590
2025-10-30 03:45:00+00:00,1496.0,1500.699951171875,1490.4000244140625,1499.9000244140625,0
2025-10-30 04:45:00+00:00,1496.9000244140625,1498.300048828125,1490.0999755859375,1496.0,955510
2025-10-30 05:45:00+00:00,1495.199951171875,1503.0999755859375,1495.0,1497.300048828125,1760004
2025-10-30 06:45:00+00:00,1494.0999755859375,1496.5,1492.9000244140625,1495.199951171875,617126
2025-10-30 07:45:00+00:00,1491.0,1495.5999755859375,1487.0999755859375,1494.0999755859375,995107
2025-10-30 08:45:00+00:00,1488.199951171875,1491.5,1484.0,1490.5999755859375,3193885
2025-10-30 09:45:00+00:00,1489.699951171875,1490.300048828125,1488.0,1488.0999755859375,669892
2025-10-31 03:45:00+00:00,1486.4000244140625,1497.5,1485.0,1490.0,0
2025-10-31 04:45:00+00:00,1484.5999755859375,1488.5,1482.5999755859375,1486.199951171875,509773
2025-10-31 05:45:00+00:00,1487.5999755859375,1492.800048828125,1482.800048828125,1484.0999755859375,544222
2025-10-31 06:45:00+00:00,1489.0,1491.9000244140625,1485.800048828125,1487.9000244140625,853024
2025-10-31 07:45:00+00:00,1489.699951171875,1490.0999755859375,1485.4000244140625,1489.0,1289906
2025-10-31 08:45:00+00:00,1486.4000244140625,1491.5999755859375,1485.0,1489.699951171875,2946670
